,fan_in,fan_out,loc,cyclomatic_complexity,num_parameters,cluster,pca1,pca2
StreamJob.jobInfo,2,6,12,2,0,0,-0.33946897727452924,-0.10476797686208521
StreamJob.submitAndMonitorJob,1,19,51,9,0,4,2.628382269865071,-0.12444197803838052
StreamLineRecordReader.seekNextRecordBoundary,1,11,22,6,0,0,0.9166939990889652,-0.12024663073399354
StreamLineRecordReader.next,212,47,46,10,2,2,3.1223327696090104,1.1911199696518258
StreamOutputFormat.getRecordWriter,2,22,20,1,4,2,0.5212016400236995,-1.1088157520422712
StreamOutputFormat.checkOutputSpecs,1,3,3,1,2,0,-0.5461850675081643,-0.7241908689683055
StreamSequenceRecordReader.next,212,47,28,8,2,2,2.066609708517604,1.2633339697767267
StreamSequenceRecordReader.seekNextRecordBoundary,1,11,12,2,0,0,-0.3018397215741863,-0.04372161532801698
StreamSequenceRecordReader.createKey,3,2,3,1,0,0,-0.8975324997966595,-0.11603871840752632
StreamSequenceRecordReader.createValue,4,2,3,1,0,0,-0.8980254368774216,-0.10874198031071163
StreamUtil.goodClassOrNull,5,2,12,5,2,2,0.6286068564341893,-0.7825858986499759
StreamUtil.findInClasspath,2,11,3,1,1,0,-0.6587270419991244,-0.30393152431541504
StreamUtil.findInClasspath,2,11,35,6,2,2,1.705591557171089,-0.754128679352418
StreamUtil.unJar,4,12,30,4,2,2,1.102766086401905,-0.6876040755296237
StreamUtil.dfmt,5,1,3,1,1,0,-0.7344784904805725,-0.41872750928673674
StreamUtil.ifmt,1,1,3,1,1,0,-0.732506742157524,-0.4479144616739955
StreamUtil.formatBytes,0,4,24,7,1,0,1.3241252751327126,-0.5446627826805897
StreamUtil.formatBytes2,0,2,26,5,1,0,0.9404033800701368,-0.552019087672523
StreamUtil.exec,14,9,3,1,2,0,-0.5080296672145749,-0.5473215541526549
StreamUtil.exec,14,9,15,3,2,2,0.34163668583383305,-0.6038656346982115
StreamUtil.qualifyHost,2,8,7,2,1,0,-0.3248612259943353,-0.367986117840275
StreamUtil.qualifyHost,2,8,10,2,1,0,-0.2218328719728358,-0.3758210776299472
StreamUtil.regexpEscape,4,4,12,3,1,0,0.034934236798846545,-0.4337275083609062
StreamUtil.safeGetCanonicalPath,2,2,8,2,1,0,-0.33508202366399914,-0.4526094906605586
StreamUtil.slurp,2,3,13,1,1,0,-0.37471730505212214,-0.4393970163570683
StreamUtil.slurpHadoop,1,4,13,1,2,0,-0.1953299570459164,-0.7366387816743696
StreamUtil.rjustify,1,2,7,3,2,0,0.0213117444256622,-0.7735103433342464
StreamUtil.ljustify,1,2,7,3,2,0,0.0213117444256622,-0.7735103433342464
StreamUtil.getSpace,2,2,7,2,1,0,-0.3694248083378323,-0.4499978373973345
StreamUtil.env,2,1,11,3,0,0,-0.1921716120867383,-0.18310154392317804
StreamUtil.makeJavaCommand,0,5,16,2,2,0,0.13439506626146633,-0.7507039803281138
StreamUtil.collate,3,8,3,1,2,0,-0.5100346230501077,-0.6412542931437932
StreamUtil.collate,3,8,11,3,2,0,0.20226059130296759,-0.6873517606364536
StreamUtil.getCurrentSplit,2,2,10,2,1,0,-0.26639645431633285,-0.4578327971870067
StreamUtil.isLocalJobTracker,3,2,3,1,1,0,-0.726065352595132,-0.41965236555418955
StreamUtil.getTaskInfo,1,6,19,2,1,0,0.07289059972459243,-0.43395993494813156
StreamUtil.getUseMapSideEffect,1,4,13,3,1,0,0.07075583271496606,-0.4582293759145744
